THE ENHANCING FINANCIAL INSTITUTION SAFETY AND SOUNDNESS ACT OF 2010;2;LegalReferences
THE INTERNATIONAL LENDING SUPERVISION ACT OF 1983 12 USC 3907A1;0;LegalReferences
NONBANK FINANCIAL COMPANY SUPERVISED BY THE BOARD OF GOVERNORS;67;EconomicOperands
DODD-FRANK WALL STREET REFORM AND CONSUMER PROTECTION ACT;24;LegalReferences
THE BANK HOLDING COMPANY ACT OF 1956 12 USC 1841 ET SEQ;4;LegalReferences
GRANDFATHERED UNITARY SAVINGS AND LOAN HOLDING COMPANY;0;EconomicOperands
THE FEDERAL DEPOSIT INSURANCE ACT 12 USC 1811 ET SEQ;4;LegalReferences
THE SMALL BUSINESS INVESTMENT ACT OF 1958 15 USC 662;0;LegalReferences
THE BANK HOLDING COMPANY ACT OF 1956 12 USC 1841A5E;0;LegalReferences
THE BANK HOLDING COMPANY ACT OF 1956 12 USC 1841A5F;0;LegalReferences
THE BANK HOLDING COMPANY ACT OF 1956 12 USC 1841C2B;0;LegalReferences
THE BANK HOLDING COMPANY ACT OF 1956 12 USC 1841C2D;0;LegalReferences
THE BANK HOLDING COMPANY ACT OF 1956 12 USC 1841C2F;0;LegalReferences
THE BANK HOLDING COMPANY ACT OF 1956 12 USC 1841C2H;0;LegalReferences
THE BANK HOLDING COMPANY ACT OF 1956 12 USC 1842D1A;0;LegalReferences
THE BANK HOLDING COMPANY ACT OF 1956 12 USC 1843J2A;0;LegalReferences
THE BANK HOLDING COMPANY ACT OF 1956 12 USC 1843K6B;1;LegalReferences
THE COMMUNITY REINVESTMENT ACT OF 1977 12 USC 2903C;0;LegalReferences
THE BANK HOLDING COMPANY ACT OF 1956 12 USC 1841C2;0;LegalReferences
THE BANK HOLDING COMPANY ACT OF 1956 12 USC 1841O4;0;LegalReferences
THE BANK HOLDING COMPANY ACT OF 1956 12 USC 1843L1;0;LegalReferences
THE BANK HOLDING COMPANY ACT OF 1956 12 USC 1844C1;0;LegalReferences
THE BANK HOLDING COMPANY ACT OF 1956 12 USC 1844C2;0;LegalReferences
THE BANK HOLDING COMPANY ACT OF 1956 12 USC 1844C5;0;LegalReferences
THE INTERNATIONAL BANKING ACT OF 1978 12 USC 31017;0;LegalReferences
THE INTERNATIONAL BANKING ACT OF 1978 12 USC 3106A;2;LegalReferences
ASSOCIATED PERSON OF A SECURITIES HOLDING COMPANY;0;EconomicOperands
NONBANK FINANCIAL COMPANY SUPERVISED BY THE BOARD;1;EconomicOperands
THE BANK HOLDING COMPANY ACT OF 1956 12 USC 1841P;0;LegalReferences
THE BANK HOLDING COMPANY ACT OF 1956 12 USC 1842C;0;LegalReferences
THE BANK HOLDING COMPANY ACT OF 1956 12 USC 1843K;4;LegalReferences
THE BANK HOLDING COMPANY ACT OF 1956 12 USC 1844B;0;LegalReferences
THE INVESTMENT ADVISERS ACT OF 1940 15 USC 80B-3M;0;LegalReferences
THE BANK HOLDING COMPANY ACT OF 1956 12 USC 1841;3;LegalReferences
THE BANK HOLDING COMPANY ACT OF 1956 12 USC 1843;2;LegalReferences
THE FEDERAL DEPOSIT INSURANCE ACT 12 USC 1813Q1;1;LegalReferences
THE FEDERAL DEPOSIT INSURANCE ACT 12 USC 1828C5;0;LegalReferences
COMMITTEE ON BANKING HOUSING AND URBAN AFFAIRS;96;EconomicOperands
THE FARM CREDIT ACT OF 1971 12 USC 2001 ET SEQ;3;LegalReferences
THE SECURITIES EXCHANGE ACT OF 1934 15 USC 78Q;6;LegalReferences
THE CONSUMER FINANCIAL PROTECTION ACT OF 2010;68;LegalReferences
THE FEDERAL DEPOSIT INSURANCE ACT 12 USC 1813;19;LegalReferences
THE FEDERAL DEPOSIT INSURANCE ACT 12 USC 1815;0;LegalReferences
THE FEDERAL DEPOSIT INSURANCE ACT 12 USC 1818;10;LegalReferences
THE FEDERAL DEPOSIT INSURANCE ACT 12 USC 1823;0;LegalReferences
THE FEDERAL DEPOSIT INSURANCE ACT 12 USC 1828;0;LegalReferences
COMMITTEE ON FINANCIAL SERVICES OF THE HOUSE;84;EconomicOperands
THE SECURITIES ACT OF 1933 15 USC 77A ET SEQ;7;LegalReferences
THE HOME OWNERS LOAN ACT 12 USC 1461 ET SEQ;3;LegalReferences
FEDERAL AGRICULTURAL MORTGAGE CORPORATION;1;EconomicOperands
OFFICE OF THE COMPTROLLER OF THE CURRENCY;108;EconomicOperands
THE FEDERAL RESERVE ACT 12 USC 611 ET SEQ;0;LegalReferences
COMPTROLLER GENERAL OF THE UNITED STATES;60;EconomicOperands
GOVERNMENT NATIONAL MORTGAGE ASSOCIATION;0;EconomicOperands
DEPOSITORY INSTITUTION HOLDING COMPANY;12;EconomicOperands
FEDERAL HOME LOAN MORTGAGE CORPORATION;6;EconomicOperands
FEDERAL DEPOSIT INSURANCE CORPORATION;90;EconomicOperands
FEDERAL NATIONAL MORTGAGE ASSOCIATION;6;EconomicOperands
FINANCIAL STABILITY OVERSIGHT COUNCIL;20;EconomicOperands
SUPERVISED SECURITIES HOLDING COMPANY;0;EconomicOperands
REVISED STATUTES OF THE UNITED STATES;7;LegalReferences
THE FEDERAL RESERVE ACT 12 USC 371C-1;0;LegalReferences
THE INTERNATIONAL BANKING ACT OF 1978;3;LegalReferences
COMMODITY FUTURES TRADING COMMISSION;134;EconomicOperands
THE BANK HOLDING COMPANY ACT OF 1956;10;LegalReferences
THE FEDERAL RESERVE ACT 12 USC 461B7;0;LegalReferences
THE HOME OWNERS LOAN ACT 12 USC 1464;0;LegalReferences
THE HOME OWNERS LOAN ACT 12 USC 1468;1;LegalReferences
FUNCTIONALLY REGULATED SUBSIDIARIES;1;EconomicOperands
LEAD INSURED DEPOSITORY INSTITUTION;0;EconomicOperands
PRIMARY FINANCIAL REGULATORY AGENCY;35;EconomicOperands
REGULATORY IMPROVEMENTS ACT OF 2010;0;LegalReferences
SECURITIES AND EXCHANGE ACT OF 1934;1;LegalReferences
THE FINANCIAL STABILITY ACT OF 2010;5;LegalReferences
THE SECURITIES EXCHANGE ACT OF 1934;84;LegalReferences
APPROPRIATE FEDERAL BANKING AGENCY;115;EconomicOperands
SECURITIES AND EXCHANGE COMMISSION;141;EconomicOperands
THE FEDERAL RESERVE ACT 12 USC 248;5;LegalReferences
THE FEDERAL RESERVE ACT 12 USC 371;3;LegalReferences
THE FEDERAL RESERVE ACT 12 USC 375;0;LegalReferences
THE INVESTMENT COMPANY ACT OF 1940;26;LegalReferences
FUNCTIONALLY REGULATED SUBSIDIARY;4;EconomicOperands
THE FEDERAL DEPOSIT INSURANCE ACT;55;LegalReferences
SAVINGS AND LOAN HOLDING COMPANY;16;EconomicOperands
SUPPORTING MATERIALS RELIED UPON;0;EconomicOperands
TO THE FULLEST EXTENT POSSIBLE;7;Attributes
INSURED DEPOSITORY INSTITUTION;112;EconomicOperands
ANNUAL GROSS REVENUES DERIVED;1;EconomicOperands
INTERNAL FINANCIAL ACTIVITIES;3;EconomicOperands
INTERNAL REVENUE CODE OF 1986;14;EconomicOperands
INTERSTATE MERGER TRANSACTION;0;EconomicOperands
REVERSE REPURCHASE AGREEMENTS;2;EconomicOperands
FEDERAL DEPOSIT INSURANCE ACT;4;LegalReferences
THE INTERNATIONAL BANKING ACT;0;LegalReferences
AUDITED FINANCIAL STATEMENTS;4;EconomicOperands
CERTIFIED HISTORIC STRUCTURE;0;EconomicOperands
INTEREST-BEARING TRANSACTION;0;EconomicOperands
INTERMEDIATE HOLDING COMPANY;21;EconomicOperands
OFFICE OF THRIFT SUPERVISION;216;EconomicOperands
REVERSE REPURCHASE AGREEMENT;2;EconomicOperands
SELF-REGULATORY ORGANIZATION;45;EconomicOperands
SOURCE OF FINANCIAL STRENGTH;0;EconomicOperands
THE BANK HOLDING COMPANY ACT;1;LegalReferences
THE CLAYTON ACT 15 USC 18AC8;1;LegalReferences
COMPTROLLER OF THE CURRENCY;142;EconomicOperands
FEDERAL SAVINGS ASSOCIATION;41;EconomicOperands
FINANCIAL HOLDING COMPANIES;0;EconomicOperands
FUTURES COMMISSION MERCHANT;36;EconomicOperands
MEMORANDUM OF UNDERSTANDING;4;EconomicOperands
REHABILITATION EXPENDITURES;0;EconomicOperands
CODE OF FEDERAL REGULATIONS;12;LegalReferences
HOLDING COMPANY ACT OF 1956;2;LegalReferences
SECTION 5C5B 12 USC 1844C5B;0;LegalReferences
SECURITIES HOLDING COMPANY;0;EconomicOperands
THE SECURITIES ACT OF 1933;21;LegalReferences
COMMODITY TRADING ADVISER;0;EconomicOperands
FINANCIAL HOLDING COMPANY;6;EconomicOperands
INDUSTRIAL LOAN COMPANIES;0;EconomicOperands
INVESTIGATIVE PROCEEDINGS;0;EconomicOperands
STATE SAVINGS ASSOCIATION;28;EconomicOperands
SUBPARAGRAPHS A THROUGH D;4;LegalReferences
SUBPARAGRAPHS A THROUGH E;3;LegalReferences
CERTIFICATION MATERIALLY;1;EconomicOperands
CONSOLIDATED SUPERVISION;1;EconomicOperands
FEDERAL BANKING AGENCIES;41;EconomicOperands
MUTUAL HOLDING COMPANIES;1;EconomicOperands
REQUESTS FOR INFORMATION;4;EconomicOperands
SECTION 10A 12 USC 1848A;0;LegalReferences
THE HOME OWNERS LOAN ACT;3;LegalReferences
AGREEMENT TO REPURCHASE;0;EconomicOperands
ASSET-BACKED SECURITIES;19;EconomicOperands
BONA FIDE MARKET-MAKING;0;EconomicOperands
CALENDAR YEAR PRECEDING;2;EconomicOperands
CHIEF EXECUTIVE OFFICER;6;EconomicOperands
COMMODITY POOL OPERATOR;9;EconomicOperands
CONFLICTING SUPERVISORY;0;EconomicOperands
CONTRACTUALLY COMMITTED;0;EconomicOperands
DEPOSITORY INSTITUTIONS;25;EconomicOperands
