THE WALL STREET TRANSPARENCY AND ACCOUNTABILITY ACT OF 2010;33;LegalReferences
PAYMENT CLEARING AND SETTLEMENT SUPERVISION ACT OF 2010;0;LegalReferences
THE SECURITIES EXCHANGE ACT OF 1934 15 USC 78A ET SEQ;26;LegalReferences
THE BANK HOLDING COMPANY ACT OF 1956 12 USC 1843K;4;LegalReferences
THE INTERNATIONAL BANKING ACT OF 1978 12 USC 3101;2;LegalReferences
THE SECURITIES EXCHANGE ACT OF 1934 15 USC 78Q-1;0;LegalReferences
COMMITTEE ON AGRICULTURE NUTRITION AND FORESTRY;3;EconomicOperands
THE FEDERAL CREDIT UNION ACT 12 USC 1751 ET SEQ;3;LegalReferences
COMMITTEE ON BANKING HOUSING AND URBAN AFFAIRS;97;EconomicOperands
THE SECURITIES EXCHANGE ACT OF 1934 15 USC 78C;5;LegalReferences
THE FEDERAL DEPOSIT INSURANCE ACT 12 USC 1813;21;LegalReferences
THE FEDERAL DEPOSIT INSURANCE ACT 12 USC 1818;6;LegalReferences
THE SECURITIES ACT OF 1933 15 USC 77A ET SEQ;7;LegalReferences
THE COMMODITY EXCHANGE ACT 7 USC 1 ET SEQ;11;LegalReferences
THE FEDERAL CREDIT UNION ACT 12 USC 1752;4;LegalReferences
PAYMENT CLEARING OR SETTLEMENT ACTIVITY;0;EconomicOperands
FINANCIAL STABILITY OVERSIGHT COUNCIL;23;EconomicOperands
THE COMMODITY EXCHANGE ACT 7 USC 7A-1;1;LegalReferences
COMMODITY FUTURES TRADING COMMISSION;141;EconomicOperands
NATIONAL CREDIT UNION ADMINISTRATION;45;EconomicOperands
THE FEDERAL RESERVE ACT 12 USC 248R2;0;LegalReferences
DESIGNATED FINANCIAL MARKET UTILITY;0;EconomicOperands
PRIMARY FINANCIAL REGULATORY AGENCY;37;EconomicOperands
THE COMMODITY EXCHANGE ACT 7 USC 12;1;LegalReferences
THE INVESTMENT ADVISERS ACT OF 1940;51;LegalReferences
THE SECURITIES EXCHANGE ACT OF 1934;79;LegalReferences
APPROPRIATE FEDERAL BANKING AGENCY;162;EconomicOperands
SECURITIES AND EXCHANGE COMMISSION;156;EconomicOperands
THE FEDERAL RESERVE ACT 12 USC 248;5;LegalReferences
THE FEDERAL RESERVE ACT 12 USC 342;0;LegalReferences
THE FEDERAL RESERVE ACT 12 USC 461;0;LegalReferences
THE FEDERAL RESERVE ACT 12 USC 611;0;LegalReferences
THE INVESTMENT COMPANY ACT OF 1940;25;LegalReferences
DERIVATIVES CLEARING ORGANIZATION;169;EconomicOperands
THE FEDERAL DEPOSIT INSURANCE ACT;60;LegalReferences
APPROPRIATE FINANCIAL REGULATOR;0;EconomicOperands
COMMITTEE ON FINANCIAL SERVICES;10;EconomicOperands
INSURED DEPOSITORY INSTITUTION;163;EconomicOperands
SECURITY-BASED SWAP AGREEMENT;24;EconomicOperands
FUTURES COMMISSION MERCHANT;35;EconomicOperands
DESIGNATED CLEARING ENTITY;0;EconomicOperands
